Address,Balance,Identity A,Logo A,Identity B,Logo B
5CRvXUKwLDzFM1u9reZ1quf14pNbsw27EZWCBxPMmpydBfYV,32378733457284,100,100,0,0
5HjZCeVcUVpThHNMyMBMKqN5ajph9CkDmZhn9BK48TmC3K4Y,10845999986,50,50,50,50
5CkuDJdN1o9gd2SiNBLKFmQaTXrv7y9qBHgoGviUhGAiQe7i,3745156314818,75,100,25,0
5HJvVQcK2KQo1U68h1UGWwiBFbpqxRawqzEARkiSvPFfgfgd,10020000000000,100,0,0,100
5CDFBYR8g2arcRhUjKy6voMCuYBdqM19B2qK425qAARHLf3D,1076700000000,0,100,100,0
5Fnsj7H82GEKSmouvbaJCd4nGBWHdLzLxjaem4ZL3t4NaDBe,12381732343911,75,100,25,0
5Cto8eoXrwHhLS5oiovtTxAqqVGvWZAZs322fbGmWPSoBgpg,28484999861,100,0,0,100
5F9EmNA8jSLkhYWgcu6Ci9oirajKpdVBXqGVP5vwe9Cw8SwR,17005815885055,100,0,0,100
5GKhPNXQ3HEqF1YRmmz6xTL4UH2H2njQQpSdxDjcUzWAznG3,14843999986,100,0,0,100
5Fj8wa979uh6QpeC393oUr5tqE8df1YTmuNDPAfDEwcJoeEx,2659466480110,100,0,0,100
5EEcwapss8y4W7ir7afQoFTHfeDhxXGZCDmGYX66SrNi37AW,30667858844732,100,100,0,0
5HVbvK6yn3rknaeo5JYUxfgEf4bmzUBRxGVzU5xuSNLsAfuy,2372079076608,100,100,0,0
5HAhQVnDuamqYpE5NYGszG9Bmt5nYsTb9odmmXHDMi5sLfaC,1521214483413,100,0,0,100
5EVbQ3JRULp7oPL7pGBKiSb7FWJyktdWcy5VE7xqqVhbcdZW,1369631304670,0,0,100,100
5HHV1YT8ifEGHhjRbCphVFSdQJ9MZRYkSGm2Qa8BwizSZ3dc,14806760000,0,100,100,0
5H4EpDhs6dv46iwLTSXQ2W6SeA6MBHLz3gRSE79QKW8npZ4a,4517117212564,100,100,0,0
5H4D6bhzQ8fLC9hAwpWFo9iMA2tbHXg4E6bt5amS1RhaA16V,15422156235451,0,50,100,50
5HNKteiQdM7jQyASxjBfbCoDX4TSv5cx5Shg6USqTJLoqfBV,112555534069,100,100,0,0
5GBw5o91TwwLwpj24ucJimWZhpg9bc5W9mBTMERjiaYYsENd,4242614486133,0,100,100,0
5D7YxCNiMM75yPq4SkkuPhVMMKAxuQCkZrH4zdv7j2oeFYMj,13589000000,100,0,0,100
5F7ajsgSMLdU7xtHraV5PJuogFRok3ipD2i93UFjJykzoqEb,73601100956,0,75,100,25
5FbbLV7w8Mcxjw1w268yajQFMRkqbFuHFj2yrzMqwcNZfcji,40737399994,0,100,100,0
5FLRwuhcsdzGWcLW5CdWmbyUktR99RyeFyNfgmS7ymb4sj7H,17826599902,0,100,100,0
5FeDmTJHozDrHR8aK2kUMUTBqmzwVoX4xdkBQx5BaSLyAK1G,20000000000,0,100,100,0
5CzSYuGT8kWAgR1KUkKD6cietBedTBNtqX5RghPA1eXiM5yB,8385501716641,0,100,100,0
5Cqxuwyoi2LNkUYRmdwSBhkJNubhmfeeRzV12mLNtKY84saS,580175838300,25,75,75,25
5ED2JFu8t9wHdiWUTxBRGnNzrk9fnBnCnQ1AMrqWhPghrA75,803302000000,100,100,0,0
5F99ZVYg7XSauDKgEDFtbbQ8tJbp9EZv1NirqYZQHwsV9jwP,88354000000,50,50,50,50
5GpCZLskhNWozDGBbBCdAGjjoHxBncdtLiYAwgRZN78PTHZb,2632289735100,0,100,100,0
5FF6KEDwmLNtAxcAHGc6Kitu6xhYQMKTzMjYeRhea2fG9ces,969551999938,0,100,100,0
5F2BgqJP5zyRSiy12jgT9kBvEjyWNUdkdKoycNcv4emisafV,3267483651865,100,75,0,25
5Guc6TyNGas58QvtbdxaxKkZtGFLodNHLNNf9adqmKZfS6no,3297365483600,100,75,0,25
5FLR8GVFCNAVwqeWvb25vqEdHzebgGNNCivjuoAQ9sQb3JFb,267822922000,25,100,75,0
5CXHVr32PQisKUsPkZkrjT1tiU2pnkkjQUmyX4gHknEouHgn,65632999986,25,25,75,75
5CDqYKkAUan7pzbzNw81NAd1BCNYPk8ryZjahrqXyfmaLrf1,11150769174,0,100,100,0
5HmNg7pkCwChMrxUNpdhsUTntkTNoU22S2cWJDQtCiJcDc7w,125702999900,50,50,50,50
5DodrUJxJK5TKjrc8CKa3B4gYj7kW5yZEhB57biwFAq6U72u,13153999916,0,75,100,25
5GeG5RtNmT4M9gQGZm2TYc9JgoPYQ8EsyAi1q84u6R7HxVby,28000000000,100,100,0,0
5HYsQKXAVLFNDvWEuGpew4QW6F7ZyjLECrTWURZBQSFi3hnR,887662361629,50,100,50,0
5GuMTcvkMBr7qVx2soxmiBTNh98c6vPznt8evkA5Rne2tvY2,597112280000,100,100,0,0
5CLkrXigJwxariohwLGSrgydXxZTsdEbsa7kNe1ub39yU2r6,49089000000,100,100,0,0
5EhRY8uNSXEjBro3CEY3EX8JuyZheGQ9x9ewhddVgVyKH1q3,286209599614,100,100,0,0
5HQQDQhnfimT6gQVvJDtsvGWEMdcVVvgcxyq7deLMnhsRQ9D,568623086700,100,100,0,0
5Gv79AYTHJRTph7zBLZLkFjMXUcirGyn9mVhdBD7rgvFjkcP,150589000000,0,100,100,0
5FRqUhdH572xcx5XmjkxULRHNqdgzgvu7a23U4fxr9Nxyj9S,18940051584,50,50,50,50
5H9UwFw9CXBEbSR2qZjYzkZejw6g2jdXYKhwiuiETSJ6N8pu,26775077457400,0,50,100,50
5DwCPG4irEKLnTRVVdB8VhRg1TB8JLnHiwgScyMynNyf95B8,67109886400,100,100,0,0
5DD2YavJ7PVveoXP1fyzkwSzrPAANSB8TY1Fgju5hHYHRLp3,248589000000,100,100,0,0
5EUrkDW6McQdTxwGEzGu1YUUtzVQxEeMweKKFjVPzs5GwC4Q,41740825786,0,100,100,0
5GGwBVxE5mUg59mesHL9j2SqAQ3A6GKPpUsuBH3uF2yXZE4v,74558907432,0,100,100,0
5HHJPnZbhKUQpTujJnUXbaByj6APmzAJzxv9kpuYb1AJssEh,22070000000,0,75,100,25
