Time,Block #,Address,Balance,Identity A,Logo A,Identity B,Logo B
2021-10-27 19:29:53,7442691,5CRvXUKwLDzFM1u9reZ1quf14pNbsw27EZWCBxPMmpydBfYV,32378733457284,100,100,0,0
2021-10-27 19:30:02,7442703,5CRvXUKwLDzFM1u9reZ1quf14pNbsw27EZWCBxPMmpydBfYV,32378733457284,100,100,0,0
2021-10-27 19:30:09,7442712,5CRvXUKwLDzFM1u9reZ1quf14pNbsw27EZWCBxPMmpydBfYV,32378733457284,100,100,0,0
2021-10-27 19:31:40,7442844,5HjZCeVcUVpThHNMyMBMKqN5ajph9CkDmZhn9BK48TmC3K4Y,10845999986,50,50,50,50
2021-10-27 19:31:50,7442857,5CkuDJdN1o9gd2SiNBLKFmQaTXrv7y9qBHgoGviUhGAiQe7i,3745156314818,75,100,25,0
2021-10-27 19:33:08,7442966,5HJvVQcK2KQo1U68h1UGWwiBFbpqxRawqzEARkiSvPFfgfgd,10020000000000,100,0,0,100
2021-10-27 19:37:20,7443323,5CDFBYR8g2arcRhUjKy6voMCuYBdqM19B2qK425qAARHLf3D,1076700000000,0,100,100,0
2021-10-27 19:37:25,7443330,5Fnsj7H82GEKSmouvbaJCd4nGBWHdLzLxjaem4ZL3t4NaDBe,12381732343911,75,100,25,0
2021-10-27 19:39:26,7443501,5Cto8eoXrwHhLS5oiovtTxAqqVGvWZAZs322fbGmWPSoBgpg,28484999861,100,0,0,100
2021-10-27 19:39:32,7443511,5F9EmNA8jSLkhYWgcu6Ci9oirajKpdVBXqGVP5vwe9Cw8SwR,17005815885055,100,0,0,100
2021-10-27 19:39:32,7443580,5GKhPNXQ3HEqF1YRmmz6xTL4UH2H2njQQpSdxDjcUzWAznG3,14843999986,100,0,0,100
2021-10-27 19:40:27,7443587,5GKhPNXQ3HEqF1YRmmz6xTL4UH2H2njQQpSdxDjcUzWAznG3,14843999986,100,0,0,100
2021-10-27 19:40:51,7443621,5Fj8wa979uh6QpeC393oUr5tqE8df1YTmuNDPAfDEwcJoeEx,2659466480110,100,0,0,100
2021-10-27 19:41:06,7443642,5CRvXUKwLDzFM1u9reZ1quf14pNbsw27EZWCBxPMmpydBfYV,32378733457284,100,100,0,0
2021-10-27 19:43:27,7443839,5EEcwapss8y4W7ir7afQoFTHfeDhxXGZCDmGYX66SrNi37AW,30667858844732,100,100,0,0
2021-10-27 19:43:29,7443843,5HVbvK6yn3rknaeo5JYUxfgEf4bmzUBRxGVzU5xuSNLsAfuy,2372079076608,100,100,0,0
2021-10-27 19:43:44,7443865,5HAhQVnDuamqYpE5NYGszG9Bmt5nYsTb9odmmXHDMi5sLfaC,1521214483413,100,0,0,100
2021-10-27 19:43:54,7443880,5EVbQ3JRULp7oPL7pGBKiSb7FWJyktdWcy5VE7xqqVhbcdZW,1369631304670,0,0,100,100
2021-10-27 19:44:25,7443924,5HHV1YT8ifEGHhjRbCphVFSdQJ9MZRYkSGm2Qa8BwizSZ3dc,14806760000,0,100,100,0
2021-10-27 19:44:29,7443930,5H4EpDhs6dv46iwLTSXQ2W6SeA6MBHLz3gRSE79QKW8npZ4a,4517117212564,100,100,0,0
2021-10-27 19:44:32,7443934,5H4D6bhzQ8fLC9hAwpWFo9iMA2tbHXg4E6bt5amS1RhaA16V,15422156235451,0,75,100,25
2021-10-27 19:44:59,7443971,5HNKteiQdM7jQyASxjBfbCoDX4TSv5cx5Shg6USqTJLoqfBV,112555534069,100,100,0,0
2021-10-27 19:45:21,7444002,5CRvXUKwLDzFM1u9reZ1quf14pNbsw27EZWCBxPMmpydBfYV,32378733457284,100,100,0,0
